Time (s),AF1,AF2,AF7,AF8,AFZ,C1,C2,C3,C4,C5,C6,CP1,CP2,CP3,CP4,CP5,CP6,CPZ,CZ,F1,F2,F3,F4,F5,F6,F7,F8,FC1,FC2,FC3,FC4,FC5,FC6,FCZ,FP1,FP2,FPZ,FT7,FT8,FZ,O1,O2,OZ,P1,P2,P3,P4,P5,P6,P7,P8,PO1,PO2,PO7,PO8,POZ,PZ,T7,T8,TP7,TP8,X,Y,nd
0.1796875,8.596,7.965,25.625,21.23,7.802,1.801,-1.16,0.214,-7.762,6.063,0.275,0.183,-4.74,3.52,-6.683,0.142,-1.251,-1.943,14.374,3.499,3.947,-0.58,3.896,5.361,5.788,22.634,18.402,1.312,0.488,-2.085,2.431,-2.431,10.691,2.513,18.911,20.365,8.535,17.67,3.51,4.323,-9.674,-8.453,-8.545,-4.801,-7.792,-2.767,-8.687,0.448,-10.722,3.011,-2.838,-9.572,-9.196,-6.836,-8.514,-9.684,-4.262,4.913,5.391,1.892,-3.571,18.656,19.267,18.931
0.18359375,3.713,3.571,24.648,13.418,3.896,4.73,0.793,8.026,3.469,4.598,1.251,1.16,-3.276,4.985,-4.242,17.232,-1.251,-0.966,9.979,-1.383,1.017,-7.416,-0.498,5.849,3.835,21.657,10.101,-0.641,-0.488,-4.527,2.431,-8.291,5.32,0.559,15.004,17.924,7.07,3.998,0.092,0.905,-7.721,-7.477,-7.568,-3.825,-6.327,-1.79,-7.222,0.936,-8.769,2.523,-1.862,-8.108,-8.708,-30.762,-17.792,-8.708,-4.262,-1.923,2.462,-5.432,-0.641,16.703,15.361,15.025
0.1875,-0.682,1.129,13.906,4.628,0.478,9.125,-4.578,13.885,-8.738,2.157,0.763,0.183,-2.787,2.543,-2.777,-2.787,-10.04,-0.966,3.632,-1.872,0.529,-5.463,-1.475,6.337,5.3,11.892,-0.641,-0.153,0.0,-2.085,0.478,-8.291,0.926,0.559,8.169,12.553,7.07,-5.28,-1.373,-0.559,-8.209,-7.477,-8.545,-4.801,-6.816,-3.255,-6.734,-1.994,-8.769,-0.407,-3.815,-8.596,-9.684,-8.789,-10.956,-9.196,-5.239,-4.364,-4.374,-5.432,-1.129,12.797,7.06,7.701
0.19140625,-2.146,1.129,0.722,2.675,-0.498,-4.547,2.258,-8.087,7.863,-0.285,-0.702,-1.282,-2.787,-1.363,-2.289,15.279,3.143,-1.943,-1.251,1.058,1.506,1.862,-0.01,5.849,7.253,1.149,-6.989,2.289,1.465,2.309,-0.01,-3.896,-0.539,1.536,2.309,6.694,5.117,0.092,-3.815,0.417,-9.674,-8.942,-9.521,-6.755,-7.792,-6.185,-7.222,-5.9,-8.769,-4.801,-7.233,-9.572,-10.661,-2.93,-1.19,-10.173,-6.704,-2.411,-10.722,1.404,-3.571,8.891,-0.753,1.841
0.1953125,0.295,4.059,-5.137,8.535,1.455,8.148,-2.625,15.35,-7.273,-0.773,-2.167,-2.258,-3.276,-3.805,-2.777,3.56,-14.923,-2.431,-2.716,5.452,3.459,8.698,2.92,3.896,7.253,-1.78,-7.477,4.242,2.93,4.751,2.92,1.963,-0.051,3.001,1.333,4.252,3.164,16.693,-6.256,2.858,-10.162,-9.43,-10.01,-8.219,-8.28,-8.138,-7.711,-8.341,-8.769,-7.731,-8.698,-11.037,-10.661,-0.977,-10.468,-10.661,-6.704,1.495,-13.163,8.728,-6.5,6.938,-2.706,0.376
0.19921875,4.69,6.5,0.234,14.882,4.384,1.801,6.165,-2.228,17.629,2.157,-2.167,-2.258,-3.764,-3.316,-3.754,-30.619,-3.204,-2.92,-1.74,6.917,4.924,10.162,4.873,1.455,4.323,2.126,-3.082,5.219,2.93,5.239,6.337,5.381,0.926,3.977,4.262,4.74,3.652,25.482,-4.791,4.812,-10.162,-9.43,-10.01,-7.731,-8.28,-7.65,-8.199,-7.365,-8.769,-8.708,-9.186,-11.525,-9.684,-18.066,-18.28,-10.661,-6.215,3.937,-8.769,11.169,-7.477,6.938,1.689,4.283
0.203125,7.619,6.989,10.976,15.859,6.337,-3.571,-1.648,-11.505,-8.738,7.039,-1.19,-1.77,-3.764,-0.387,-4.242,20.162,1.19,-2.431,-0.763,6.429,5.412,7.233,6.337,-0.498,-0.071,7.985,4.242,4.73,2.93,5.239,5.849,4.893,-0.051,3.977,9.145,7.182,8.046,13.275,1.068,5.3,-10.162,-9.43,-9.521,-6.266,-7.792,-5.208,-7.711,-4.435,-8.769,-7.731,-9.186,-11.037,-9.196,7.324,9.552,-10.173,-5.727,3.448,0.509,7.263,-6.012,9.379,7.06,9.165
0.20703125,8.108,5.524,15.859,11.953,6.337,-0.641,1.282,-5.157,1.516,7.039,-0.702,-0.793,-3.276,2.055,-4.242,3.072,7.05,-2.431,-1.74,4.476,5.412,3.815,6.337,0.478,-3.489,8.962,12.054,4.73,2.93,6.215,2.92,2.452,-2.004,3.489,11.587,9.135,11.464,-11.627,5.951,4.323,-10.651,-9.918,-10.498,-5.29,-7.792,-3.743,-7.222,-2.482,-9.257,-7.731,-11.139,-10.061,-9.684,3.418,5.646,-10.173,-6.215,1.495,6.856,-1.038,-5.035,11.82,8.525,11.607
0.2109375,6.643,3.571,10.976,7.07,4.873,3.265,1.77,8.026,0.539,1.668,-1.19,-0.793,-3.276,2.543,-4.242,-4.74,4.608,-2.431,-5.157,3.011,4.924,3.326,5.849,1.943,-3.977,3.103,17.426,4.73,3.418,7.192,1.455,0.987,-3.469,3.489,9.633,9.623,9.511,-27.252,3.51,3.835,-11.627,-10.895,-11.963,-5.778,-7.792,-3.743,-7.222,-2.97,-9.745,-8.708,-13.092,-10.061,-10.661,-1.953,-12.909,-11.149,-6.704,-0.946,6.856,-7.874,-5.524,12.797,3.153,9.654
0.21484375,5.178,3.571,0.722,7.07,4.384,4.242,-2.625,21.21,-3.367,-6.632,-1.678,-0.793,-3.276,1.567,-3.754,2.584,-9.552,-2.92,-6.622,3.988,5.412,5.768,5.849,2.92,-0.559,-4.222,17.914,5.219,3.906,6.704,4.384,1.963,-1.516,3.977,5.727,7.67,4.629,-17.487,-2.838,4.323,-12.115,-11.383,-12.939,-6.755,-7.792,-5.208,-6.734,-5.412,-9.257,-9.684,-13.092,-10.549,-10.173,-10.254,-9.491,-11.149,-6.704,-2.411,-0.468,-9.338,-7.477,12.309,-4.171,5.747
0.21875,4.69,6.5,-3.672,11.464,4.873,-1.129,1.77,-3.204,3.957,-10.539,-0.702,-1.77,-3.276,0.102,-3.265,-5.229,0.214,-2.92,-2.716,4.964,6.877,7.233,6.826,3.408,5.3,-5.686,13.031,4.242,3.906,2.797,6.337,4.405,2.879,4.466,3.286,6.694,2.187,7.904,-1.862,5.3,-10.651,-10.406,-11.475,-7.243,-6.816,-7.161,-6.246,-7.853,-7.792,-8.708,-9.186,-10.061,-8.219,-4.883,-0.702,-10.173,-5.727,-0.946,-7.304,-6.409,-7.965,11.332,-6.124,3.306
0.22265625,6.643,10.406,3.652,17.324,7.314,2.289,0.305,2.167,-1.414,-6.632,2.228,-1.77,-2.299,-2.34,-1.801,8.443,-1.74,-1.943,6.561,5.452,7.853,5.28,8.291,3.408,10.671,1.149,6.195,1.801,3.906,-2.085,3.896,4.893,9.226,4.954,4.751,8.158,7.558,27.435,8.392,6.276,-7.721,-7.477,-7.568,-6.266,-5.351,-7.65,-4.293,-8.341,-4.862,-4.313,-2.35,-8.596,-4.801,2.93,-0.702,-7.731,-4.262,1.495,-7.304,-2.014,-4.547,12.309,1.2,4.771
0.2265625,9.084,12.848,17.324,19.765,8.779,-0.153,4.211,-12.482,4.934,1.18,4.669,-2.258,-1.322,-3.805,-0.336,-8.158,7.05,-1.455,16.815,4.476,7.853,1.373,8.779,2.431,13.112,11.892,2.289,0.336,3.418,-4.527,-0.498,1.475,13.133,4.466,10.122,12.065,15.371,23.529,19.623,6.276,-4.791,-4.059,-4.15,-4.801,-3.886,-6.185,-2.34,-6.388,-1.933,-0.407,2.533,-6.154,-2.848,-10.254,-9.003,-5.29,-3.286,3.448,1.485,-0.061,1.312,15.238,13.407,10.142
0.23046875,10.549,12.36,26.601,18.3,9.267,8.636,-0.183,20.233,5.422,6.063,4.669,-2.258,-1.322,-4.781,1.129,25.533,-11.993,-1.455,21.698,3.011,6.388,-1.556,8.291,1.943,12.624,18.728,4.242,0.336,2.93,-2.085,-1.475,-4.873,12.644,3.489,15.004,15.971,16.836,3.51,17.181,5.788,-3.815,-2.594,-3.662,-4.313,-3.398,-4.72,-1.363,-2.97,-0.468,1.058,2.533,-5.178,-3.825,-22.949,-23.651,-4.801,-4.262,1.495,12.227,-1.526,6.195,18.656,21.22,14.537
0.234375,9.572,8.942,22.207,11.953,7.802,0.824,0.305,-4.669,-4.832,3.133,2.228,-2.258,-1.322,-3.805,0.641,-3.276,-5.157,-1.943,19.257,2.035,4.924,-0.092,6.337,0.478,9.694,16.286,9.613,2.289,2.93,2.309,3.408,-10.244,8.738,3.489,14.516,14.994,9.023,-12.115,2.533,4.323,-5.768,-4.059,-5.615,-4.801,-4.862,-4.232,-1.851,-1.994,-1.933,-1.872,-2.35,-5.666,-6.755,-17.578,-4.12,-6.755,-5.727,-3.387,16.622,-5.92,5.219,17.68,18.29,14.048
0.23828125,6.643,5.524,7.558,4.628,4.873,-5.035,9.583,-16.876,15.676,-3.703,-0.702,-1.282,-2.299,-1.851,-0.336,-5.717,4.608,-2.431,11.444,3.011,4.435,4.791,4.873,0.478,7.741,7.497,13.031,4.73,2.441,5.727,7.802,-10.244,3.855,3.001,8.169,7.67,-2.696,-13.092,-12.604,3.835,-9.674,-8.453,-9.521,-6.266,-6.816,-4.72,-3.805,-3.459,-4.374,-5.778,-8.209,-7.619,-9.196,-2.441,-10.956,-9.196,-6.215,-8.27,9.786,-8.362,-0.153,11.82,7.06,8.189
0.2421875,2.736,3.082,-6.602,-2.696,2.431,0.824,-3.113,0.702,-10.691,-7.121,-2.655,-0.793,-2.787,0.59,-1.312,3.56,-4.181,-2.431,4.12,3.988,3.947,9.186,4.384,1.943,6.276,-1.78,9.125,5.219,2.93,5.727,6.826,-3.896,-0.051,3.489,-1.109,-3.072,-9.532,-4.791,-15.045,2.858,-13.092,-11.871,-12.451,-6.755,-7.792,-5.697,-5.758,-6.388,-7.304,-8.219,-11.627,-10.549,-10.173,5.371,-7.05,-11.637,-6.215,-9.247,-4.862,-7.385,-7.477,2.543,-4.659,-1.088
0.24609375,-1.17,2.594,-11.485,-6.114,0.478,4.242,-0.671,5.096,-3.367,-2.726,-2.167,-0.305,-2.299,1.078,-1.312,0.631,-5.646,-1.455,2.167,3.988,3.459,9.186,4.384,4.384,4.812,-7.151,-1.129,3.754,2.93,2.797,0.966,3.428,-1.516,3.001,-8.433,-11.373,-8.555,0.092,-7.721,2.37,-14.069,-13.336,-13.428,-6.266,-6.816,-6.673,-6.246,-7.365,-7.792,-7.243,-11.627,-11.037,-8.708,-2.441,-4.608,-11.149,-4.751,-4.852,-17.558,-2.502,-11.383,-5.758,-10.03,-8.413
0.25,-3.123,3.571,-8.555,-7.579,-0.498,1.312,2.747,-2.716,1.516,5.575,-0.214,-0.305,-1.322,0.59,-0.336,-1.811,-0.275,-0.478,4.608,3.011,2.482,5.768,4.873,5.361,2.858,-7.64,-12.848,1.312,2.441,1.333,-2.452,7.334,-2.004,2.513,-10.386,-13.326,-4.161,-4.791,-1.373,1.394,-12.604,-12.36,-11.963,-4.801,-5.351,-5.697,-4.781,-5.9,-6.816,-3.825,-9.674,-10.061,-7.243,-0.488,3.204,-9.684,-3.286,1.495,-21.464,3.357,-10.895,-8.687,-8.077,-10.366
0.25390625,-3.123,3.082,-3.184,-8.067,-0.987,1.801,1.77,-0.763,2.004,10.457,0.275,-0.305,-0.346,-1.363,0.153,2.584,-1.251,0.01,8.026,0.57,1.506,0.885,4.873,3.896,1.394,-6.663,-18.707,0.824,1.953,1.333,-0.01,5.87,-2.004,2.024,-7.456,-9.42,-1.719,-12.115,-1.862,0.417,-9.186,-9.43,-9.033,-3.337,-3.886,-3.743,-3.805,-2.482,-4.862,-1.383,-8.698,-7.619,-6.755,-3.906,0.763,-7.243,-2.797,6.378,-16.581,6.775,-7.477,-5.758,-2.706,-6.948
0.2578125,-1.658,1.617,-1.231,-8.555,-1.475,4.242,-0.183,8.514,-0.926,8.504,-0.214,-0.305,-0.346,-2.34,-0.336,-3.276,0.702,0.498,9.491,-0.407,1.017,-1.068,3.896,0.966,3.347,-5.686,-15.778,1.312,1.465,2.797,3.896,1.963,-1.027,1.536,-3.062,-3.072,-1.231,-11.139,-3.815,0.417,-5.28,-6.5,-6.104,-1.872,-3.398,-2.767,-2.828,0.448,-3.886,-0.895,-8.209,-5.666,-5.778,-4.883,-4.608,-5.778,-2.797,6.378,-7.792,6.287,-4.547,0.102,0.712,-2.065
0.26171875,0.295,0.641,-2.696,-7.579,-0.498,-0.641,4.7,-6.134,10.305,2.645,-0.702,-0.305,-0.834,-2.34,-1.312,2.096,4.608,0.01,9.003,0.081,1.994,0.885,3.408,0.478,8.718,-5.198,-4.059,2.289,1.465,3.286,3.896,0.498,1.414,2.513,0.356,0.834,-0.254,1.068,1.068,0.905,-2.35,-4.059,-3.662,-1.872,-3.886,-1.79,-3.316,0.936,-4.374,-1.872,-6.744,-3.713,-4.313,-7.812,-11.932,-4.801,-2.797,3.937,0.02,3.845,-3.082,4.008,1.689,0.865
0.265625,1.272,0.641,-3.184,-2.696,0.966,8.636,-3.601,25.116,-2.391,-1.261,-0.702,-0.305,-1.811,-0.875,-2.289,-1.811,-5.646,-0.478,7.538,1.546,2.97,4.303,3.408,2.431,13.112,-3.733,10.101,2.289,1.465,1.821,-0.498,2.94,4.832,2.513,0.844,2.787,2.187,16.205,10.345,1.882,-0.885,-2.594,-2.686,-1.872,-3.886,-1.79,-3.316,-1.017,-4.374,-1.872,-4.303,-2.736,-2.848,-8.301,-10.956,-3.825,-2.309,2.472,3.927,0.427,-3.082,4.496,2.177,1.353
0.26953125,1.272,1.129,-0.743,5.605,1.455,-4.059,1.77,-13.947,4.445,-1.261,0.275,0.183,-1.322,0.59,-1.801,-3.764,5.585,-0.478,7.05,2.523,2.482,6.256,2.92,5.361,10.671,-0.315,18.89,0.824,1.465,-0.621,-3.428,4.893,6.785,2.024,-0.132,2.787,2.187,21.088,13.275,1.882,-0.885,-2.106,-2.197,-1.872,-3.398,-2.279,-2.828,-2.97,-3.886,-1.872,-1.862,-2.248,-1.872,1.465,-0.702,-3.825,-1.821,2.96,5.391,-1.526,-3.082,2.543,5.107,-0.112
0.2734375,0.295,2.106,1.699,12.929,0.966,-2.594,9.094,-13.947,17.141,-1.261,1.251,0.671,-0.834,1.078,0.641,-0.834,1.19,0.01,6.073,2.035,1.017,4.791,1.943,4.873,0.417,2.126,19.379,-1.129,1.465,-2.574,-0.498,2.452,5.809,1.536,-2.085,2.299,-0.743,11.322,5.463,1.394,-2.838,-2.594,-3.174,-1.872,-3.398,-2.279,-2.34,-3.947,-3.398,-1.872,-2.35,-3.225,-2.848,-3.418,2.228,-3.825,-2.309,4.425,4.415,-2.991,-2.106,0.102,8.525,-2.065
0.27734375,-1.17,2.106,1.211,12.929,-0.498,7.66,-4.578,8.026,-20.945,-3.703,1.74,0.671,-0.346,2.055,1.617,8.443,-4.669,0.01,3.632,0.081,-0.936,-0.092,-0.01,0.478,-10.813,2.126,10.59,-1.617,0.977,-2.574,4.384,-5.361,1.414,0.559,-3.062,0.346,-5.625,-5.28,-7.233,-0.071,-6.744,-4.547,-6.104,-1.872,-3.398,-2.279,-1.851,-2.97,-2.421,-2.848,-4.791,-4.201,-5.29,0.488,1.74,-5.778,-3.286,2.96,2.462,-5.432,-1.617,-1.851,7.548,-3.042
0.28125,-2.146,0.641,-1.719,3.652,-1.963,4.73,-1.648,15.839,0.051,-8.586,0.763,1.648,-0.346,3.031,1.617,1.119,3.632,0.01,1.19,-1.872,-1.424,-3.998,-0.987,-4.893,-14.231,-0.315,-2.106,-0.641,0.488,-1.109,6.826,-14.15,-3.469,0.071,-3.55,-3.072,-7.09,-16.998,-15.533,-1.536,-10.162,-7.477,-9.033,-2.36,-4.374,-2.279,-2.828,-2.482,-2.909,-4.801,-8.209,-5.666,-7.243,-6.836,-11.932,-7.243,-4.262,-2.411,-0.468,-7.385,-3.082,-2.34,1.2,-3.042
0.28515625,-3.123,-0.824,-3.672,-7.09,-2.452,3.265,1.282,0.702,7.863,-11.027,-0.702,2.136,-0.834,4.496,0.153,-0.834,-10.04,-0.478,0.702,-2.848,-0.936,-4.486,-0.498,-7.823,-7.884,-0.804,-11.383,0.824,0.977,-0.132,3.896,-16.103,-5.91,0.071,-3.062,-6.49,-5.137,-17.975,-13.58,-2.024,-11.627,-8.942,-10.498,-2.36,-5.351,-2.279,-3.316,-1.994,-3.886,-5.29,-9.186,-6.643,-7.243,-0.977,-3.632,-8.219,-4.262,-9.247,-3.886,-7.874,-5.524,-2.828,-6.612,-3.042
0.2890625,-2.635,-1.801,-2.207,-10.02,-2.452,4.242,0.305,3.143,-6.297,-7.121,-1.678,2.625,-1.322,5.473,-1.312,3.56,3.143,-0.478,3.632,-2.36,0.041,-2.045,0.478,-5.381,3.347,2.126,-14.801,1.801,1.465,0.356,0.478,-10.732,-3.957,0.559,-2.574,-6.978,-1.719,-10.651,-5.768,-1.536,-10.162,-8.453,-9.521,-2.848,-4.862,-1.79,-3.805,-2.482,-4.374,-4.801,-7.233,-5.666,-4.801,-10.254,5.646,-7.731,-2.797,-12.665,-5.839,-5.92,-6.012,-3.316,-9.542,-3.042
0.29296875,-2.635,-2.777,-0.743,-2.207,-1.963,-5.035,7.141,-10.529,9.816,1.18,-1.678,2.136,-0.834,4.008,-0.824,14.303,9.979,0.498,9.003,-1.383,0.041,0.885,0.966,-0.987,9.694,7.497,-14.313,1.312,1.465,-0.132,-0.498,-1.943,-0.051,0.071,-2.574,-3.072,0.234,-2.35,0.58,-1.048,-5.768,-5.524,-6.104,-1.872,-2.909,-2.279,-2.34,-2.97,-3.398,-2.848,-4.303,-3.713,-1.872,19.043,13.458,-4.801,-1.333,-11.2,-6.816,-1.526,-5.035,-3.316,-5.147,-3.53
0.296875,-2.146,-3.754,-2.696,8.535,-2.452,-0.641,3.235,-0.763,5.422,7.039,-0.702,1.16,0.142,0.59,0.641,10.885,-3.693,0.498,13.397,-0.895,-0.936,3.326,-0.01,1.455,6.276,7.497,-12.36,0.336,0.488,0.356,-0.498,3.428,2.879,0.071,-3.55,2.787,0.722,2.533,3.021,-1.048,-1.373,-2.106,-1.709,-0.895,-0.956,-1.79,-0.387,-2.482,-1.444,-1.872,-2.35,-1.272,0.081,-3.418,-4.12,-1.872,-0.356,-6.317,-6.816,3.357,-2.106,-3.316,2.665,-4.506
0.30078125,-1.658,-4.73,-9.043,11.953,-3.428,2.777,2.747,8.026,5.422,5.575,-0.214,0.183,1.119,-2.828,2.106,8.443,1.19,0.987,13.885,-1.383,-2.401,2.35,-2.452,-0.987,-1.048,-1.78,-11.383,-0.153,-0.977,1.333,-1.475,2.452,2.391,-0.417,-5.503,6.694,-0.743,3.021,3.51,-2.024,1.068,0.336,0.732,0.57,0.02,-1.302,1.078,-1.017,0.02,-2.848,-2.838,0.193,0.57,2.441,-6.561,0.081,-0.356,-1.434,-6.327,5.31,-0.153,-2.34,7.06,-5.483
0.3046875,-0.682,-5.219,-15.391,2.187,-4.405,1.801,1.77,-0.275,0.051,-2.238,0.275,0.183,1.119,-4.293,2.106,-2.299,10.956,0.987,10.956,-1.872,-2.889,0.397,-3.916,-5.381,-4.954,-17.893,-9.918,0.824,-1.953,1.821,-3.428,-1.943,-0.051,-0.905,-7.456,4.74,-2.696,-1.862,2.533,-2.513,1.556,0.824,0.732,1.546,0.509,-0.326,1.078,0.936,0.02,-3.825,-4.303,0.682,0.081,0.0,-6.561,0.57,0.132,1.495,-6.327,3.845,-1.617,-1.851,4.13,-6.948
0.30859375,-0.193,-2.777,-13.438,-12.461,-3.916,7.66,-3.601,11.932,-8.738,-8.586,1.251,0.671,0.631,-2.34,1.129,16.744,-14.923,1.475,7.538,-2.36,-1.912,-2.045,-2.94,-7.334,-2.513,-30.589,-4.059,1.312,-1.465,1.821,-2.94,-3.408,-0.539,-0.905,-7.945,-3.072,-5.137,-8.209,0.092,-2.513,0.092,-0.153,-0.244,2.523,0.02,1.139,0.59,1.912,-0.956,-2.36,-4.791,1.17,0.57,0.488,-9.979,0.081,1.109,2.96,-6.327,0.427,-5.035,-2.34,-3.682,-7.436
0.3125,0.295,0.641,-3.184,-19.786,-2.94,4.73,0.305,19.257,-0.437,-7.609,2.716,2.136,0.631,1.567,0.641,-1.322,-0.275,1.963,7.05,-2.848,-0.448,-3.021,0.478,-5.381,2.858,-29.124,5.707,0.824,-0.488,-0.621,2.431,0.498,1.902,-0.905,-6.48,-11.373,-7.579,-11.139,-4.791,-2.513,-1.373,-1.617,-1.221,3.011,0.509,2.116,0.102,2.889,-1.444,2.035,-3.815,1.17,2.035,-10.254,2.228,0.081,2.085,4.913,-4.374,-1.526,-7.477,-2.828,-9.054,-5.971
0.31640625,-0.682,4.547,8.535,-11.973,-1.475,6.683,2.258,9.003,-1.414,0.692,4.181,2.625,1.119,4.008,1.617,1.119,-1.74,2.452,7.538,-3.337,0.529,-3.51,3.408,-1.963,4.323,-12.522,14.984,-1.617,0.977,-2.574,6.826,4.405,5.809,-1.394,-4.038,-14.303,-9.043,-4.791,-8.698,-2.024,-1.373,-1.617,-1.709,3.499,1.485,2.604,0.59,3.377,-0.956,5.941,-2.838,2.146,2.523,5.371,5.646,0.57,3.062,6.866,0.02,-0.549,-6.012,-2.34,-7.1,-4.018
0.3203125,-4.1,5.035,13.418,4.628,-1.475,-2.594,0.305,-7.111,-1.414,9.481,4.181,2.625,2.096,4.008,3.082,0.142,-3.693,2.94,8.514,-3.825,-0.448,-3.021,2.92,-1.475,-0.559,10.915,17.914,-3.571,0.977,-3.062,5.361,2.452,7.762,-1.882,-1.597,-9.42,-8.067,8.392,-7.721,-3.001,-1.373,-1.617,-1.709,3.011,2.462,2.116,2.055,3.377,1.485,6.917,-1.862,2.146,2.035,0.0,8.575,1.058,2.574,7.355,6.856,3.357,-1.617,-1.363,0.712,-1.088
0.32421875,-7.029,2.106,8.046,17.324,-3.428,3.265,1.282,4.12,0.051,11.922,1.74,2.625,2.096,2.543,4.059,-2.787,0.702,2.452,8.026,-4.313,-2.889,-2.533,-0.987,-3.428,-6.907,27.028,12.543,-3.571,0.0,-1.597,-1.963,-6.337,4.832,-1.882,-0.132,-1.119,-3.672,19.135,-0.397,-3.977,-1.373,-1.617,-2.197,2.523,1.973,1.628,3.031,2.889,3.438,3.011,-2.838,1.17,0.57,4.883,2.228,0.57,1.597,4.913,12.227,5.31,3.754,0.102,8.525,0.376
0.328125,-8.006,-2.289,0.234,18.789,-5.381,2.289,2.258,0.214,1.027,7.528,-0.702,2.136,1.607,2.055,3.571,5.514,-2.716,1.963,7.538,-3.825,-4.842,-1.556,-5.87,-4.405,-9.349,27.517,3.754,-1.129,-1.465,1.821,-6.358,-16.103,-0.051,-1.882,-0.132,4.74,1.211,18.158,7.904,-4.954,-2.35,-2.594,-3.174,2.035,0.997,1.139,2.543,1.912,3.927,-2.36,-4.303,0.682,-0.895,-0.488,-4.12,-0.407,0.621,-0.946,13.204,3.845,6.195,1.078,10.478,0.865
0.33203125,-6.053,-5.707,-1.719,10.976,-5.381,4.242,-0.671,7.538,0.051,1.18,-2.167,2.625,0.631,3.031,2.106,4.049,-0.763,1.963,9.491,-2.848,-5.33,-0.58,-7.823,-0.498,-4.466,15.798,-2.594,1.312,-2.93,3.286,-4.405,-17.568,-4.445,-1.394,-0.132,5.717,4.629,6.439,9.857,-4.954,-3.326,-3.082,-3.174,2.035,0.02,1.139,1.078,1.424,2.462,-5.29,-4.791,0.193,0.081,-8.789,-7.05,-1.383,1.109,-6.317,8.321,-0.061,4.73,2.055,7.06,0.865
0.3359375,-1.658,-5.707,5.117,4.14,-3.428,6.195,-0.183,8.026,6.887,-0.285,-0.702,3.113,0.142,3.52,0.641,10.396,-2.228,1.963,14.374,-1.383,-3.377,-0.58,-5.87,7.802,2.37,3.103,-3.082,2.289,-2.441,3.286,1.455,-8.291,-4.445,-0.905,1.333,1.811,4.629,-4.303,4.486,-3.489,-2.35,-1.129,-1.709,3.499,0.509,2.116,0.59,1.424,0.509,-3.825,-3.326,1.658,2.523,-11.23,-7.538,0.57,3.062,-8.27,0.997,-2.991,-0.153,3.031,3.153,1.353
0.33984375,2.248,-2.777,13.906,4.14,-0.498,-3.082,7.629,-10.529,16.164,3.621,2.228,3.113,0.631,3.031,1.129,-6.205,0.214,2.452,19.745,-0.407,-0.448,-0.58,-0.987,13.173,6.276,-1.78,-1.617,0.824,-0.977,0.844,3.408,4.405,0.437,-0.417,2.309,-1.119,1.699,-5.768,-1.862,-1.536,0.092,1.312,1.221,4.964,2.462,3.092,1.078,0.936,0.02,0.57,-0.885,4.1,4.964,-4.883,0.275,3.011,4.527,-4.852,-4.374,-2.991,-5.035,4.496,3.153,2.33
0.34375,1.76,-0.336,15.859,8.046,0.966,4.73,-1.648,2.655,-12.644,8.504,4.181,2.625,1.607,1.078,2.594,5.514,1.19,2.94,22.186,-0.895,0.529,-0.58,2.431,10.732,5.3,2.126,-2.594,-1.617,0.977,-1.109,0.478,11.241,5.32,-0.417,2.309,-1.607,-1.231,-0.397,-2.838,-1.048,2.533,3.754,3.174,5.452,4.415,2.604,3.031,0.448,0.997,2.523,0.092,5.076,5.452,15.625,8.575,4.964,5.015,-0.458,-4.862,0.916,-6.989,4.985,6.571,2.818
0.34765625,-0.682,0.641,7.558,8.535,-0.01,3.754,-1.16,5.096,-3.367,8.993,3.204,1.648,2.584,-0.875,4.059,3.56,-9.064,2.94,18.768,-1.383,-0.448,-0.092,2.431,1.455,-0.559,7.497,-7.965,-2.106,1.465,-1.597,-2.452,7.334,6.297,-0.905,0.356,-0.631,-3.672,2.533,-0.397,-1.536,2.045,2.777,1.709,4.476,3.927,1.139,3.52,-1.017,1.973,1.058,-1.373,4.1,3.011,2.93,-0.702,3.499,3.55,2.472,-1.933,4.333,-6.012,3.52,9.501,0.376
0.3515625,-4.588,-0.824,-4.161,0.722,-1.963,4.242,-1.16,8.026,-4.344,5.086,-0.702,1.648,2.584,-0.875,3.571,0.631,-2.228,1.963,12.421,-1.872,-1.912,0.885,-0.987,-7.823,-5.442,6.521,-12.848,-0.641,0.488,-0.132,-1.475,-2.431,1.414,-0.905,-4.038,-0.631,-5.137,1.068,-0.885,-2.024,-2.35,-1.129,-2.686,2.523,1.973,0.163,2.543,-1.994,1.485,-3.825,-4.791,1.17,-0.895,-0.977,1.74,0.57,1.597,1.495,-0.956,4.822,-4.547,1.078,8.036,-3.53
0.35546875,-5.076,-2.289,-11.485,-10.02,-3.916,6.195,1.77,13.885,0.539,0.203,-4.12,2.625,0.631,1.567,1.617,3.56,-9.552,1.475,7.05,-1.383,-2.889,2.35,-4.405,-9.288,-6.419,-1.292,-10.895,1.801,-0.488,1.821,1.943,-9.267,-4.934,-0.417,-8.433,-4.049,-6.602,-0.885,-5.768,-2.513,-7.233,-6.012,-7.08,1.058,-0.468,-0.326,0.59,-1.994,-0.468,-6.266,-7.721,-1.76,-2.848,-5.371,-7.05,-2.848,0.132,-1.923,-4.862,1.404,-4.059,-2.828,3.153,-7.924
